Airport,Year,Month,Dom_Pax_In,Dom_Pax_Out,Int_Pax_In,Int_Pax_Out
HAMILTON ISLAND,2015,3,18788,18138,0,0
HOBART,2015,3,97209,101984,0,0
LAUNCESTON,2015,3,57484,59583,0,0
MACKAY,2015,3,38476,36956,0,0
MELBOURNE,2015,3,1005878,1039069,345323,371197
NEWCASTLE,2015,3,46998,46902,0,0
PERTH,2015,3,359400,351127,160418,167454
SYDNEY,2015,3,1105157,1095693,557245,579473
TOWNSVILLE,2015,3,59989,58009,0,0
ADELAIDE,2015,4,291914,294232,33223,37246
BRISBANE,2015,4,691971,694729,205882,212965
CAIRNS,2015,4,155106,159990,18491,19824
CANBERRA,2015,4,114563,117067,0,0
DARWIN,2015,4,73551,70521,10371,9647
GOLD COAST,2015,4,204814,211335,37202,34068
HAMILTON ISLAND,2015,4,18567,19125,0,0
HOBART,2015,4,89654,94013,0,0
LAUNCESTON,2015,4,52216,55380,0,0
MACKAY,2015,4,38188,38030,0,0
MELBOURNE,2015,4,996733,964471,340239,344512
NEWCASTLE,2015,4,46382,46468,0,0
PERTH,2015,4,363209,360074,168302,173956
SYDNEY,2015,4,1056659,1058151,547174,551891
TOWNSVILLE,2015,4,61695,62149,0,0
ADELAIDE,2015,5,270553,272195,31243,36424
BRISBANE,2015,5,668512,665042,189075,198431
CAIRNS,2015,5,145872,144667,17628,19137
CANBERRA,2015,5,120603,121584,0,0
DARWIN,2015,5,74875,72519,10489,10953
GOLD COAST,2015,5,182778,184034,34086,31677
HAMILTON ISLAND,2015,5,16356,16902,0,0
HOBART,2015,5,79587,82903,0,0
LAUNCESTON,2015,5,46677,48225,0,0
MACKAY,2015,5,37417,37180,0,0
MELBOURNE,2015,5,936622,936219,302738,334198
NEWCASTLE,2015,5,46585,46832,0,0
PERTH,2015,5,331242,334104,143271,158138
SYDNEY,2015,5,1029545,1017224,488608,519255
TOWNSVILLE,2015,5,62664,61362,0,0
ADELAIDE,2015,6,252967,252494,32695,37826
BRISBANE,2015,6,665708,666152,194338,219792
CAIRNS,2015,6,166490,152862,17394,19542
CANBERRA,2015,6,118741,118659,0,0
DARWIN,2015,6,87804,81791,10295,12773
GOLD COAST,2015,6,186821,179078,32051,36170
HAMILTON ISLAND,2015,6,18103,16269,0,0
HOBART,2015,6,78217,77801,0,0
LAUNCESTON,2015,6,42671,42200,0,0
MACKAY,2015,6,36464,36164,0,0
MELBOURNE,2015,6,892847,934705,308765,379573
NEWCASTLE,2015,6,45252,45669,0,0
PERTH,2015,6,334331,315818,147906,177716
SYDNEY,2015,6,983350,995667,487652,572404
TOWNSVILLE,2015,6,63967,63610,0,0
