省份名称,省份简称或者是直辖市,现存确诊,累计确诊,治愈,死亡
,周口,0,76,75,1
,平顶山,0,58,57,1
,新乡,0,57,54,3
,安阳,0,53,53,0
,许昌,0,39,38,1
,漯河,0,36,36,0
,焦作,0,32,31,1
,洛阳,0,31,30,1
,开封,0,26,26,0
,鹤壁,0,19,19,0
,濮阳,0,17,17,0
,三门峡,0,7,6,1
,济源,0,5,5,0
,境外输入,0,3,3,0
江西省,江西,0,937,936,1
,南昌,0,230,230,0
,新余,0,130,130,0
,上饶,0,123,123,0
,九江,0,118,118,0
,宜春,0,106,106,0
,赣州,0,76,75,1
,抚州,0,72,72,0
,萍乡,0,33,33,0
,吉安,0,22,22,0
,鹰潭,0,18,18,0
,景德镇,0,6,6,0
,境外输入,0,2,2,0
,赣江新区,0,1,1,0
广西壮族自治区,广西,0,254,252,2
,南宁,0,55,55,0
,北海,0,44,43,1
,桂林,0,32,32,0
,河池,0,28,27,1
,柳州,0,24,24,0
,防城港,0,19,19,0
,玉林,0,11,11,0
,来宾,0,11,11,0
,钦州,0,8,8,0
,贵港,0,8,8,0
,梧州,0,5,5,0
,贺州,0,4,4,0
,百色,0,3,3,0
,境外输入,0,2,2,0
海南省,海南,0,168,162,6
,三亚,0,54,53,1
,海口,0,39,39,0
,儋州,0,15,14,1
,万宁,0,13,13,0
,澄迈,0,9,8,1
,昌江,0,7,7,0
,琼海,0,6,5,1
,临高,0,6,6,0
,陵水,0,4,4,0
,定安,0,3,2,1
,文昌,0,3,3,0
,东方,0,3,2,1
,保亭,0,3,3,0
,乐东,0,2,2,0
,琼中,0,1,1,0
甘肃省,甘肃,0,139,137,2
,境外输入,0,47,47,0
,兰州,0,36,34,2
,天水,0,12,12,0
,平凉,0,9,9,0
,定西,0,9,9,0
,甘南,0,8,8,0
,白银,0,4,4,0
,陇南,0,4,4,0
,庆阳,0,3,3,0
,临夏,0,3,3,0
,张掖,0,2,2,0
,金昌,0,1,1,0
,省级（湖北输入）,0,1,1,0
新疆维吾尔自治区,新疆,0,76,73,3
,乌鲁木齐,0,23,23,0
,伊犁州,0,18,18,0
,兵团第四师,0,10,9,1
,兵团第八师石河子市,0,4,3,1
,兵团第九师,0,4,3,1
,昌吉州,0,4,4,0
,吐鲁番市,0,3,3,0
,巴州,0,3,3,0
,兵团第十二师,0,3,3,0
,兵团第六师五家渠市,0,2,2,0
,兵团第七师,0,1,1,0
,阿克苏地区,0,1,1,0
宁夏回族自治区,宁夏,0,75,75,0
,银川,0,36,36,0
,吴忠,0,28,28,0
,固原,0,5,5,0
,中卫,0,4,4,0
,宁东,0,1,1,0
,石嘴山,0,1,1,0
青海省,青海,0,18,18,0
,西宁,0,15,15,0
,海北州,0,3,3,0
西藏自治区,西藏,0,1,1,0
,拉萨,0,1,1,0
