date,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-09-22,50,优,35,51,11,0.8,45,66
2014-09-23,45,优,27,45,9,0.6,43,64
2014-09-24,49,优,27,45,8,0.6,40,97
2014-09-25,79,良,58,94,8,1,68,77
2014-09-26,114,轻度污染,86,140,24,1.2,59,72
2014-09-27,57,良,40,64,10,0.8,39,68
2014-09-28,63,良,31,51,11,0.8,42,116
2014-09-29,83,良,61,110,22,1.2,59,95
2014-09-30,92,良,69,114,13,1.2,65,70
2014-10-01,67,良,49,80,10,0.9,43,88
2014-10-02,63,良,43,76,7,0.9,38,97
2014-10-03,64,良,44,78,7,0.8,40,80
2014-10-04,61,良,40,72,12,0.7,36,97
2014-10-05,62,良,37,74,9,0.7,48,108
2014-10-06,73,良,54,96,12,0.9,48,111
2014-10-07,113,轻度污染,85,141,25,1,60,115
2014-10-08,133,轻度污染,102,150,38,1.1,55,81
2014-10-09,167,中度污染,127,206,41,1.7,80,52
2014-10-10,169,中度污染,128,205,36,1.3,63,48
2014-10-11,66,良,48,69,7,0.8,33,80
2014-10-12,37,优,22,37,13,0.6,41,53
2014-10-13,55,良,32,59,14,0.6,46,36
2014-10-14,70,良,49,90,16,0.8,54,54
2014-10-15,85,良,63,105,15,0.9,52,38
2014-10-16,55,良,39,61,8,0.9,40,30
2014-10-17,68,良,49,81,14,1.1,48,38
2014-10-18,84,良,62,98,11,1.2,50,34
2014-10-19,86,良,64,98,12,1.2,52,63
2014-10-20,91,良,68,112,14,1.5,63,95
2014-10-21,89,良,66,115,12,1.3,55,100
2014-10-22,85,良,63,104,15,1.2,68,65
2014-10-23,88,良,66,100,13,1.2,52,101
2014-10-24,125,轻度污染,95,148,20,1.5,77,73
2014-10-25,152,中度污染,117,181,16,2,81,80
2014-10-26,219,重度污染,169,261,31,2.3,97,40
2014-10-27,119,轻度污染,90,136,15,1.4,51,45
2014-10-28,48,优,29,48,9,0.9,32,39
2014-10-29,43,优,25,43,15,1.1,36,41
2014-10-30,54,良,36,58,11,1,36,30
2014-10-31,47,优,26,47,13,0.9,36,33
2014-11-01,41,优,22,41,11,0.7,40,37
2014-11-02,47,优,25,47,7,0.6,39,48
2014-11-03,64,良,40,77,19,0.8,46,90
2014-11-04,81,良,59,111,20,0.9,64,63
2014-11-05,103,轻度污染,77,138,21,1.1,60,80
2014-11-06,132,轻度污染,100,161,18,1.4,65,55
2014-11-07,72,良,53,82,16,0.8,45,47
2014-11-08,50,优,27,51,4,0.7,33,22
2014-11-09,50,优,31,51,6,0.8,34,27
2014-11-10,55,良,35,60,12,0.9,35,25
2014-11-11,73,良,48,96,11,1.3,41,57
2014-11-12,94,良,69,138,18,1.3,47,58
2014-11-13,69,良,46,87,8,0.8,49,59
2014-11-14,92,良,68,119,11,1,54,36
2014-11-15,76,良,56,94,11,1,53,41
2014-11-16,66,良,42,81,11,0.9,47,35
2014-11-17,56,良,37,63,14,0.9,44,47
2014-11-18,78,良,58,103,15,0.9,38,30
2014-11-19,70,良,51,90,13,0.9,44,27
2014-11-20,83,良,62,112,15,1.1,55,30
2014-11-21,99,良,75,138,16,1.5,64,15
2014-11-22,79,良,55,109,12,1.1,51,38
2014-11-23,123,轻度污染,93,166,21,1.6,72,25
2014-11-24,80,良,59,104,17,1.5,57,17
2014-11-25,79,良,58,105,21,1.5,57,27
2014-11-26,89,良,66,117,25,1.3,51,22
2014-11-27,60,良,36,71,19,1.2,46,59
2014-11-28,70,良,47,91,24,1.1,48,34
2014-11-29,79,良,58,106,22,1.3,57,26
2014-11-30,63,良,39,75,12,1.1,38,43
2014-12-01,70,良,37,90,25,0.7,44,44
2014-12-02,81,良,55,111,16,0.9,47,23
2014-12-03,59,良,35,68,13,1,44,24
2014-12-04,80,良,53,111,27,1,55,26
2014-12-05,99,良,74,143,20,1.2,61,46
2014-12-06,92,良,69,115,17,1.1,52,28
2014-12-07,80,良,59,105,12,1.3,46,36
2014-12-08,141,轻度污染,108,197,50,1.7,63,25
2014-12-09,117,轻度污染,89,150,31,1,47,19
2014-12-10,55,良,28,60,11,0.7,43,27
2014-12-11,83,良,44,116,16,0.7,44,55
2014-12-12,105,轻度污染,68,160,16,1.1,50,59
2014-12-13,114,轻度污染,79,179,24,1,58,47
2014-12-14,108,轻度污染,73,167,21,1,58,34
2014-12-15,99,良,68,149,22,1,46,53
2014-12-16,71,良,27,92,18,0.6,38,56
2014-12-17,83,良,46,116,23,0.8,50,50
2014-12-18,89,良,54,127,19,1.1,64,50
2014-12-19,112,轻度污染,85,160,29,1.4,66,66
2014-12-20,162,中度污染,123,216,30,1.8,83,35
2014-12-21,119,轻度污染,90,158,23,1.4,57,57
2014-12-22,127,轻度污染,97,187,61,1.6,71,30
2014-12-23,116,轻度污染,88,160,28,1.3,69,57
2014-12-24,201,重度污染,151,258,43,1.8,79,32
2014-12-25,176,中度污染,133,203,23,1.4,72,36
2014-12-26,189,中度污染,142,217,18,1.3,58,23
2014-12-27,131,轻度污染,100,156,19,1.4,54,43
2014-12-28,118,轻度污染,89,150,16,1.4,59,60
2014-12-29,154,中度污染,117,207,14,1.5,55,40
2014-12-30,177,中度污染,134,219,17,1.5,68,43
2014-12-31,230,重度污染,180,292,18,1.8,62,23
2015-01-01,185,中度污染,139,216,14,1.4,60,28
2015-01-02,205,重度污染,155,239,20,1.5,53,19
2015-01-03,205,重度污染,155,246,13,1.6,50,41
2015-01-04,221,重度污染,171,264,19,1.6,70,31
2015-01-05,150,轻度污染,115,176,18,1.8,55,17
2015-01-06,76,良,56,98,13,0.9,51,53
2015-01-07,96,良,72,131,16,1,52,40
2015-01-08,97,良,73,113,9,1,46,34
2015-01-09,116,轻度污染,88,135,13,1.2,51,25
2015-01-10,125,轻度污染,95,146,8,1.2,51,24
2015-01-11,159,中度污染,121,182,15,1.3,47,25
2015-01-12,137,轻度污染,105,162,19,1.5,57,35
2015-01-13,247,重度污染,197,288,26,2.2,75,18
2015-01-14,234,重度污染,184,266,29,1.9,78,13
2015-01-15,259,重度污染,209,305,27,2.1,75,11
2015-01-16,150,轻度污染,115,165,17,1.4,61,57
2015-01-17,214,重度污染,164,252,28,1.7,71,37
2015-01-18,98,良,73,111,17,1,46,53
2015-01-19,178,中度污染,135,208,27,1.5,63,27
2015-01-20,216,重度污染,166,247,26,1.7,71,54
2015-01-21,212,重度污染,162,251,21,2.1,78,83
2015-01-22,238,重度污染,188,293,29,2.3,90,49
2015-01-23,251,重度污染,201,326,35,2.4,96,30
2015-01-24,209,重度污染,159,254,33,1.9,83,29
2015-01-25,213,重度污染,163,261,28,2.1,79,42
2015-01-26,189,中度污染,142,218,31,1.8,63,26
2015-01-27,180,中度污染,136,219,25,1.8,60,23
2015-01-28,43,优,26,43,7,1.4,30,30
2015-01-29,58,良,40,65,10,1.4,44,31
2015-01-30,83,良,61,101,17,1.3,46,34
2015-01-31,61,良,44,63,7,1.1,31,33
2015-02-01,68,良,49,66,6,1.2,36,10
2015-02-02,88,良,65,93,14,1.5,46,14
2015-02-03,105,轻度污染,79,119,17,1.5,50,44
2015-02-04,116,轻度污染,88,136,19,1.5,52,72
2015-02-05,113,轻度污染,86,130,19,1.2,52,74
2015-02-06,151,中度污染,116,170,23,1.4,60,51
2015-02-07,114,轻度污染,86,123,20,1.3,46,72
2015-02-08,118,轻度污染,90,141,15,1.3,55,46
2015-02-09,177,中度污染,134,199,31,1.6,58,33
2015-02-10,196,中度污染,147,209,21,1.6,64,47
2015-02-11,188,中度污染,142,198,17,1.5,57,84
2015-02-12,194,中度污染,146,217,18,2,76,104
2015-02-13,207,重度污染,157,223,14,1.9,76,91
2015-02-14,221,重度污染,171,224,20,1.8,73,109
2015-02-15,172,中度污染,130,201,16,1.7,67,88
2015-02-16,90,良,65,130,10,1,46,99
2015-02-17,121,轻度污染,92,155,14,1.2,42,121
2015-02-18,116,轻度污染,88,132,13,1.2,33,101
2015-02-19,156,中度污染,120,157,23,1.3,25,80
2015-02-20,69,良,51,70,11,1.4,27,61
2015-02-21,89,良,66,85,10,1.6,39,59
2015-02-22,53,良,37,57,6,0.9,17,78
2015-02-23,43,优,29,43,8,0.9,18,60
2015-02-24,57,良,40,53,9,1.1,27,54
2015-02-25,46,优,31,46,8,1,30,83
2015-02-26,55,良,35,59,9,1,38,54
2015-02-27,54,良,38,59,8,1,33,34
2015-02-28,43,优,22,43,9,1.1,26,53
