﻿,食物名,能量/kcal,硫胺素/mg,钙/mg,蛋白质/g,核黄素/mg,镁/mg,脂肪/g,烟酸/mg,铁/mg,碳水化合物/g,维生素C/mg,锰/mg,膳食纤维/g,维生素E/mg,锌/mg,维生素A/微克,胆固醇/mg,铜/mg,胡萝卜素/微克,钾/mg,磷/mg,视黄醇当量/微克,钠/mg,硒/微克,元/斤
76,乌贼(鲜)[鱿鱼，台湾枪乌贼，枪乌贼],84,0.02,44,17.4,0.06,42,1.6,1.6,0.9,0,0,0.08,0,1.68,2.38,35,268,0.45,1.1,290,19,80.4,110,38.18,
77,菜籽油[青油],899,0,9,0,0,3,99.9,0,3.7,0,0,0.11,0,60.89,0.54,0,0,0.18,0,2,9,0.1,7,0,
78,豆油,899,0,13,0,0,3,99.9,0,2,0,0,0.43,0,93.08,1.09,0,0,0.16,0,3,7,0.1,4.9,0,
79,花生油,899,0,12,0,0,2,99.9,0,2.9,0,0,0.33,0,42.06,0.48,0,0,0.15,0.1,1,15,0.1,3.5,0,
80,色拉油,898,0,18,0,0,1,99.8,0,1.7,0,0,0.01,0,24.01,0.23,0,64,0.05,0,3,1,0.2,5.1,0,3.70
81,苹果(均值),52,0.06,4,0.2,0.02,4,0.2,0.2,0.6,12.3,4,0.03,1.2,2.12,0.19,3,0,0.06,0.2,119,12,85.9,1.6,0.12,2.60
82,橘子汁,119,0,4,0,0,2,0.1,0,0.1,29.6,2,0,0,0,0.03,2,0,0,0.2,6,0,70.1,18.6,0,
83,樱桃,46,0.02,11,1.1,0.02,12,0.2,0.6,0.4,9.9,10,0.07,0.3,2.22,0.23,35,0,0.1,0.5,232,27,88,8,0.21,2.30
84,红香蕉苹果,49,0.01,5,0.4,0.02,3,0.2,0.1,0.6,11.4,3,0.02,0.9,0.36,0.02,17,0,0.22,0.2,85,8,86.9,2,0.14,0.30
85,蜜桃,41,0.02,10,0.9,0.03,9,0.2,1,0.5,9,4,0.11,0.8,1,0.06,2,0,0.08,0.4,169,21,88.7,2.9,0.23,17.50
86,番杏[夏菠菜，新西兰菠菜],0,0,97,0,0,44,0,0,1.4,0,46,0.55,2.1,0,0.33,425,0,0.06,0,221,37,91.4,28,0,
87,草莓[洋莓，凤阳草莓],30,0.02,18,1,0.03,12,0.2,0.3,1.8,6,47,0.49,1.1,0.71,0.14,5,0,0.04,0.4,131,27,91.3,4.2,0.7,1.50
88,葡萄(均值),43,0.04,5,0.5,0.02,8,0.2,0.2,0.4,9.9,25,0.06,0.4,0.7,0.18,8,0,0.09,0.3,104,13,88.7,1.3,0.2,1.95
89,中华猕猴桃[毛叶猕猴桃],56,0.05,27,0.8,0.02,12,0.6,0.3,1.2,11.9,62,0.73,2.6,2.43,0.57,22,0,1.87,0.7,144,26,83.4,10,0.28,0.50
90,西瓜(均值),25,0.02,8,0.6,0.03,8,0.1,0.2,0.3,5.5,6,0.05,0.3,0.1,0.1,75,0,0.05,0.2,87,9,93.3,3.2,0.17,5.00
91,芒果[抹猛果，望果],32,0.01,0,0.6,0.04,14,0.2,0.3,0.2,7,23,0.2,1.3,1.21,0.09,150,0,0.06,0.3,138,11,90.6,2.8,1.44,
92,佛手瓜[棒瓜，菜肴梨],16,0.01,17,1.2,0.1,10,0.1,0.1,0.1,2.6,8,0.03,1.2,0,0.08,3,0,0.02,0.6,76,18,94.3,1,1.45,
93,牛肉(肥瘦)(均值),125,0.04,23,19.9,0.14,20,4.2,5.6,3.3,2,0,0.04,0,0.65,4.73,7,84,0.18,1.1,216,168,72.8,84.2,6.45,3.70
94,猪肉(肥瘦)(均值),395,0.22,6,13.2,0.16,16,37,3.5,1.6,2.4,0,0.03,0,0.35,2.06,18,80,0.06,0.6,204,162,46.8,59.4,11.97,3.70
95,驴肉(瘦),116,0.03,2,21.5,0.16,7,3.2,2.5,4.3,0.4,0,0,0,2.76,4.26,72,74,0.23,1.1,325,178,73.8,46.9,6.1,3.70
96,白脱(食品工业)[牛油，黄油],744,0.01,1,0,0.06,2,82.7,0.1,1,0,0,0.02,0,3.71,0.8,534,152,0.02,0.1,43,14,17.7,18,0.56,
97,羊油,824,0,0,0,0,1,88,0,1,8,0,0,0,1.08,0,33,110,0.06,0,12,18,4,13.2,0,
98,猪油(板油),827,0,0,0,0,1,88.7,0,2.1,7.2,0,0.63,0,21.83,0.8,89,110,0.05,0.1,14,10,4,138.5,0,
99,牛乳粉(多维奶粉),484,0.28,1797,19.9,6.68,22,22.7,0.5,1.4,49.9,9,0.02,0,0.48,3.71,77,68,0.11,4.7,1910,324,2.8,567.8,16.8,2.50
100,奶酪[干酪],328,0.06,799,25.7,0.91,57,23.5,0.6,2.4,3.5,0,0.16,0,0.6,6.97,152,11,0.13,3.8,75,326,43.5,584.6,1.5,20.00
,食物名,能量/kcal,硫胺素/mg,钙/mg,蛋白质/g,核黄素/mg,镁/mg,脂肪/g,烟酸/mg,铁/mg,碳水化合物/g,维生素C/mg,锰/mg,膳食纤维/g,维生素E/mg,锌/mg,维生素A/微克,胆固醇/mg,铜/mg,胡萝卜素/微克,钾/mg,磷/mg,视黄醇当量/微克,钠/mg,硒/微克
0,面条(均值),284 ,0.22 ,11 ,8.3 ,0.07 ,39 ,0.7 ,1.4 ,3.6 ,61.1 ,0 ,0.86 ,0.8 ,0.59 ,1.43 ,0 ,0 ,0.17 ,0.6 ,135 ,162 ,28.5 ,28 ,11.74 
