﻿视频标题,视频时长,观看人数,弹幕数,up主昵称,上传时间,视频链接,评论链接
我心中的思政课（齐大课业）,05:56,1152,0,Lycoris_殁若,2018-11-06,https://www.bilibili.com/video/BV1ob411F7pE?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=35426897&sort=1
【2020最美教师】金句频出！看完明白为什么学生都爱这位思政课老师,01:22,502,0,最美人物发布,2020-09-25,https://www.bilibili.com/video/BV1jT4y1c79a?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=927218628&sort=1
大学生讲思政课—创造有价值的人生,10:48,756,0,85564275988_bili,2020-10-22,https://www.bilibili.com/video/BV1XK411A7kB?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=500101544&sort=1
《我心中的思政课_纪实》微电影,05:43,635,0,宝藏大鴻,2020-11-19,https://www.bilibili.com/video/BV1iZ4y137km?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=372776743&sort=1
《往昔 今朝》－思政课微视频作业,09:44,1473,0,裴青岩-,2019-09-27,https://www.bilibili.com/video/BV1WJ411T7XJ?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=69095166&sort=1
西北工业大学“我心中的思政课”微电影《信念》,11:01,985,28,Dream-Liner,2020-11-18,https://www.bilibili.com/video/BV1va4y1p78s?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=670323177&sort=1
辽宁省高校第二届思政课情景微电影展示活动,03:25:25,347,0,平生不见浮梦,2020-11-26,https://www.bilibili.com/video/BV1qz4y1k7LC?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=585485331&sort=1
《担当》 “我心中的思政课”全国高校大学生微电影展示活动 宁夏理工学院作品,10:40,1671,3,宁夏理工学院,2020-11-05,https://www.bilibili.com/video/BV19f4y1i7aQ?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=287644971&sort=1
《我心中的思政课》——时代精神,10:03,310,1,魔法美少女潘长江,2020-11-09,https://www.bilibili.com/video/BV14K411G7p8?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=500199642&sort=1
《蜕变》大学生思政课自制搞笑微电影,13:38,4348,1,三金爱喝口服液,2019-09-15,https://www.bilibili.com/video/BV1tJ411c72f?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=67900500&sort=1
新时代大学生做忠诚的爱国者—首届全国高校思政课教学展示活动特等奖（碧辉腾乐协助创作）,20:01,4240,0,碧辉腾乐,2019-10-30,https://www.bilibili.com/video/BV1YE411b7of?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=73932148&sort=1
