电影名称,上映时间,票房(万元),平均票价,场均人次,电影链接
云南虫谷,2018-12-29 上映,114104,73.4811268,3,http://piaofang.maoyan.com/movie/345655
赛尔号大电影7：疯狂机器城,2019-08-02 上映,1141011,75.21123,9,http://piaofang.maoyan.com/movie/1260459
周恩来回延安,2019-05-15 上映,11472,72.1129357,66,http://piaofang.maoyan.com/movie/1234382
雪暴,2019-04-30 上映,114112,73.2611688,3,http://piaofang.maoyan.com/movie/672279
我和神马查干,2012-12-05 上映,1110113,114.54811810,75,http://piaofang.maoyan.com/movie/330115
照相师,2018-12-12 上映,111022,78.75537,56,http://piaofang.maoyan.com/movie/1228750
大路朝天,2018-12-22 上映,113107,74.9102698,107,http://piaofang.maoyan.com/movie/1249315
解放·终局营救,2019-12-27 上映,11336,58.8310895,3,http://piaofang.maoyan.com/movie/1261203
长安道,2019-11-15 上映,115910,78.9211693,3,http://piaofang.maoyan.com/movie/346640
小巷管家,2019-10-29 上映,11534,79.74112511,107,http://piaofang.maoyan.com/movie/1300417
我的拳王男友,2019-11-08 上映,11536,33.63810910,3,http://piaofang.maoyan.com/movie/1215326
深夜食堂,2019-08-30 上映,11569,77.117388,7,http://piaofang.maoyan.com/movie/1183641
潜艇总动员：外星宝贝计划,2019-06-01 上映,11794,711.47310107,10,http://piaofang.maoyan.com/movie/1279730
触不可及,2019-11-22 上映,11797,76.1010949,5,http://piaofang.maoyan.com/movie/597919
我想吃掉你的胰脏,2019-01-18 上映,11792,72.275311,3,http://piaofang.maoyan.com/movie/1238862
巧虎大飞船历险记,2019-06-01 上映,11745,78.111110998,9,http://piaofang.maoyan.com/movie/1278409
如影随心,2019-04-19 上映,117104,73.106926,11,http://piaofang.maoyan.com/movie/1207260
冰雪女王4：魔镜世界,2019-08-02 上映,11738,76.3844116,8,http://piaofang.maoyan.com/movie/1240397
星际探索,2019-12-05 上映,111143,77.1121010103,5,http://piaofang.maoyan.com/movie/605319
素人特工,2019-07-12 上映,111154,75.86445,5,http://piaofang.maoyan.com/movie/1213262
打过长江去,2019-10-16 上映,11697,79.75924,76,http://piaofang.maoyan.com/movie/1251174
唐顿庄园,2019-12-13 上映,11638,73.10326911,8,http://piaofang.maoyan.com/movie/1203825
保持沉默,2019-08-23 上映,11633,75.69744,3,http://piaofang.maoyan.com/movie/341379
宝莱坞机器人2.0:重生归来,2019-09-06 上映,11652,76.4731093,7,http://piaofang.maoyan.com/movie/894477
印度暴徒,2018-12-28 上映,11672,72.956535,8,http://piaofang.maoyan.com/movie/1204476
海蒂和爷爷,2019-05-16 上映,11297,76.887103,3,http://piaofang.maoyan.com/movie/337625
八子,2019-06-21 上映,112810,76.648439,5,http://piaofang.maoyan.com/movie/1262593
早安公主,2019-12-13 上映,112118,37.4310887,73,http://piaofang.maoyan.com/movie/1132247
龙牌之谜,2019-08-16 上映,112115,75.1146684,10,http://piaofang.maoyan.com/movie/343473
回到过去拥抱你,2019-07-26 上映,6987,75.93348,5,http://piaofang.maoyan.com/movie/1205779
托马斯大电影之世界探险记,2019-05-31 上映,6986,711.107101193,8,http://piaofang.maoyan.com/movie/1225975
最佳男友进化论,2019-04-12 上映,6937,75.1162109,7,http://piaofang.maoyan.com/movie/368260
悟空奇遇记,2019-05-01 上映,6925,119.439229,8,http://piaofang.maoyan.com/movie/672379
九龙不败,2019-07-02 上映,6484,711.3341135,7,http://piaofang.maoyan.com/movie/346172
狗眼看人心,2019-04-20 上映,64106,77.76107810,5,http://piaofang.maoyan.com/movie/1263355
乐高大电影2,2019-03-22 上映,6455,77.823437,3,http://piaofang.maoyan.com/movie/341220
闪闪的红星,2007-10-01 上映,6423,78.91066711,43,http://piaofang.maoyan.com/movie/246995
看不见的小孩,2019-07-19 上映,64211,119.694255,10,http://piaofang.maoyan.com/movie/1229688
双生,2019-05-18 上映,681010,711.11102611,11,http://piaofang.maoyan.com/movie/345621
朝花夕誓-于离别之朝束起约定之花,2019-02-22 上映,68113,76.116114811,10,http://piaofang.maoyan.com/movie/1214652
奎迪：英雄再起,2019-01-04 上映,61044,76.7741011,5,http://piaofang.maoyan.com/movie/345172
未来机器城,2019-07-19 上映,61048,711.3895,5,http://piaofang.maoyan.com/movie/1219932
转型团伙,2019-04-19 上映,610810,119.833294,7,http://piaofang.maoyan.com/movie/1162868
昆虫总动员2-来自远方的后援军,2019-08-23 上映,61053,77.1061166,10,http://piaofang.maoyan.com/movie/1239976
地球最后的夜晚,2018-12-31 上映,61079,78.1147597,5,http://piaofang.maoyan.com/movie/345036
叶问外传：张天志,2018-12-21 上映,61029,73.26331110,10,http://piaofang.maoyan.com/movie/1200265
古镇画情,2009-12-31 上映,63106,711.277998,711,http://piaofang.maoyan.com/movie/643506
女王的柯基,2019-08-30 上映,6378,711.45811210,3,http://piaofang.maoyan.com/movie/1262590
我的青春都是你,2019-06-21 上映,6549,76.759765,7,http://piaofang.maoyan.com/movie/1197934
进京城,2019-05-10 上映,65104,710.991061010,8,http://piaofang.maoyan.com/movie/342893
龙猫,2018-12-14 上映,6563,711.65911910,4,http://piaofang.maoyan.com/movie/123
毕业那年：分手季,2014-10-17 上映,6529,77.911658,105,http://piaofang.maoyan.com/movie/246165
游戏人生 零,2019-07-19 上映,6793,72.1033354,10,http://piaofang.maoyan.com/movie/1203673
若能与你共乘海浪之上,2019-12-07 上映,6795,119.111157119,5,http://piaofang.maoyan.com/movie/1257417
黄玫瑰,2019-05-25 上映,6783,52.11810635,45,http://piaofang.maoyan.com/movie/1213186
那时风华,2019-12-10 上映,6733,74.7410845,3,http://piaofang.maoyan.com/movie/1277527
检察方的罪人,2019-09-06 上映,6774,75.329311,3,http://piaofang.maoyan.com/movie/1205290
我在耀瓷小镇等你,2019-10-18 上映,6766,626.894345,88,http://piaofang.maoyan.com/movie/1298803
冰峰暴,2019-11-29 上映,61187,710.785923,11,http://piaofang.maoyan.com/movie/1216179
太阳升起的时刻,2019-10-25 上映,61178,78.531010810,4,http://piaofang.maoyan.com/movie/1300298
今夜在浪漫剧场,2019-02-14 上映,611711,75.495811,8,http://piaofang.maoyan.com/movie/1205582
德鲁大叔,2019-01-11 上映,61162,119.899758,3,http://piaofang.maoyan.com/movie/1217351
天使陷落,2019-12-31 上映,6644,76.953933,66,http://piaofang.maoyan.com/movie/1196202
桂香街,2019-07-22 上映,66103,77.848834,102,http://piaofang.maoyan.com/movie/1285674
宠物联盟,2019-11-08 上映,66118,72.968885,3,http://piaofang.maoyan.com/movie/1298835
青蛙王子历险记,2019-04-05 上映,66112,710.111010937,3,http://piaofang.maoyan.com/movie/1229702
小羊肖恩2：末日农场,2019-12-28 上映,6626,119.8946711,10,http://piaofang.maoyan.com/movie/1213293
大梦难忘,2019-11-26 上映,6622,310.83599,112,http://piaofang.maoyan.com/movie/1301384
侠路相逢,2019-10-18 上映,6294,58.752768,67,http://piaofang.maoyan.com/movie/1227005
骡子,2019-08-26 上映,6242,710.5435610,10,http://piaofang.maoyan.com/movie/1217246
四个春天,2019-01-04 上映,6233,710.91178113,10,http://piaofang.maoyan.com/movie/1229697
撞死了一只羊,2019-04-26 上映,6279,74.11710118,8,http://piaofang.maoyan.com/movie/1230152
过春天,2019-03-15 上映,993,75.811634,5,http://piaofang.maoyan.com/movie/1229799
死寂逃亡,2019-08-30 上映,992,119.9510677,5,http://piaofang.maoyan.com/movie/902819
黄大年,2018-12-12 上映,936,56.37883,115,http://piaofang.maoyan.com/movie/1228046
平原上的夏洛克,2019-11-29 上映,955,78.1071028,7,http://piaofang.maoyan.com/movie/1284949
天渠,2018-11-30 上映,957,79.923277,87,http://piaofang.maoyan.com/movie/1246221
天作谜案,2019-10-25 上映,9118,72.4271010,7,http://piaofang.maoyan.com/movie/1215348
捉妖学院,2019-04-04 上映,9112,49.681063,58,http://piaofang.maoyan.com/movie/1189325
乡村青年,2018-12-13 上映,967,628.898311,35,http://piaofang.maoyan.com/movie/1250610
在乎你,2019-04-12 上映,449,511.81097311,11,http://piaofang.maoyan.com/movie/1213175
机动战士高达NT,2019-07-12 上映,486,711.11107288,5,http://piaofang.maoyan.com/movie/1230509
毕业那年,2012-09-21 上映,482,72.53117115,79,http://piaofang.maoyan.com/movie/836
特别追踪,2018-09-19 上映,41010,54.573105,52,http://piaofang.maoyan.com/movie/1238775
萌宠特工队,2019-11-15 上映,436,114.7109533,10,http://piaofang.maoyan.com/movie/1278145
燃点,2019-01-11 上映,457,78.310410811,611,http://piaofang.maoyan.com/movie/1220833
隧道尽头,2019-07-25 上映,463,77.57211108,10,http://piaofang.maoyan.com/movie/644501
最长1枪,2019-09-06 上映,462,77.8102527,5,http://piaofang.maoyan.com/movie/1203775
战斗民族养成记,2019-01-24 上映,4210,77.10106537,7,http://piaofang.maoyan.com/movie/1204080
大侦探霍桑,2019-01-25 上映,422,119.1098247,11,http://piaofang.maoyan.com/movie/345918
森林奇缘,2019-01-18 上映,894,119.8510467,3,http://piaofang.maoyan.com/movie/888384
为国而歌,2019-10-18 上映,895,119.3118994,7,http://piaofang.maoyan.com/movie/1256872
武陵山上的星光,2019-05-18 上映,846,310.4117838,78,http://piaofang.maoyan.com/movie/1277746
虫林大作战,2019-04-13 上映,885,114.73210,3,http://piaofang.maoyan.com/movie/1206415
港珠澳大桥,2019-05-01 上映,833,711.61042310,8,http://piaofang.maoyan.com/movie/1239281
欲念游戏,2019-04-12 上映,858,76.3881184,11,http://piaofang.maoyan.com/movie/1156894
中国合伙人2,2018-12-18 上映,856,53.91051075,76,http://piaofang.maoyan.com/movie/1229915
盛世秧歌,2007-12-31 上映,875,36.325397,74,http://piaofang.maoyan.com/movie/319904
童童的风铃密室,2019-08-09 上映,827,77.285483,10,http://piaofang.maoyan.com/movie/1286498
夜伴歌声,2019-03-22 上映,1095,59.955106,3,http://piaofang.maoyan.com/movie/1254051
龟兔大作战,2018-12-30 上映,1089,109.657411,62,http://piaofang.maoyan.com/movie/1244914
达道里,2019-09-27 上映,1085,911.48115,103,http://piaofang.maoyan.com/movie/1298801
变化中的中国·生活因你而火热,2019-11-22 上映,10105,103.41194103,11,http://piaofang.maoyan.com/movie/1301018
养家之人,2019-01-11 上映,1074,711.62381010,7,http://piaofang.maoyan.com/movie/341989
阿里巴巴三根金发,2018-12-30 上映,1077,511.92287,10,http://piaofang.maoyan.com/movie/1218253
逗爱熊仁镇,2019-09-07 上映,1077,711.25945,11,http://piaofang.maoyan.com/movie/1206717
精灵怪物：疯狂之旅,2019-03-29 上映,10118,76.41185119,7,http://piaofang.maoyan.com/movie/343987
断片之险途夺宝,2018-12-29 上映,1063,77.11932411,7,http://piaofang.maoyan.com/movie/1189514
一生只为一事来,2019-09-09 上映,399,1110.878114,9,http://piaofang.maoyan.com/movie/1281118
昆仑兄弟,2019-12-31 上映,338,119.461011410,117,http://piaofang.maoyan.com/movie/1280090
十二生肖之福星高照朱小八,2019-09-13 上映,3310,119.445247,3,http://piaofang.maoyan.com/movie/1285928
大人物,2011-03-11 上映,337,75.8107388,8,http://piaofang.maoyan.com/movie/78582
冷血追击,2019-09-06 上映,378,76.528477,7,http://piaofang.maoyan.com/movie/1176486
古井凶灵,2019-02-22 上映,3710,118.8573511,3,http://piaofang.maoyan.com/movie/1251606
22年后的自白,2019-01-11 上映,373,711.77951011,5,http://piaofang.maoyan.com/movie/1132519
原来如此,2019-04-12 上映,31110,78.8257,9,http://piaofang.maoyan.com/movie/1239678
疯狂梦幻城,2019-09-21 上映,31111,32.1031123,63,http://piaofang.maoyan.com/movie/1295309
废柴老爸,2019-06-15 上映,3116,119.246435,3,http://piaofang.maoyan.com/movie/1184910
功夫四侠：勇闯地宫,2019-04-05 上映,369,75.54881010,66,http://piaofang.maoyan.com/movie/1217497
国礼,2019-09-20 上映,363,54.3101134,56,http://piaofang.maoyan.com/movie/1200783
零零后,2019-09-03 上映,366,72.431081111,67,http://piaofang.maoyan.com/movie/1298696
罗马,2019-05-10 上映,362,78.7722711,5,http://piaofang.maoyan.com/movie/445609
江南,2019-09-27 上映,328,78.3691037,62,http://piaofang.maoyan.com/movie/1284264
闯堂兔3囧囧时光机,2019-01-18 上映,326,119.4321195,7,http://piaofang.maoyan.com/movie/1240859
音乐家,2019-05-17 上映,594,119.3443910,3,http://piaofang.maoyan.com/movie/1206829
三傻闹地球,2019-10-26 上映,544,72.838293,5,http://piaofang.maoyan.com/movie/905675
美食大冒险之英雄烩,2018-08-17 上映,542,79.78111011,8,http://piaofang.maoyan.com/movie/334625
追凶十九年,2019-11-22 上映,583,75.6533810,11,http://piaofang.maoyan.com/movie/1201711
动物出击,2019-04-30 上映,5108,73.6114887,5,http://piaofang.maoyan.com/movie/1243904
水族魂1944,2018-12-21 上映,533,52.22539,622,http://piaofang.maoyan.com/movie/1249215
萤火奇兵2：小虫不好惹,2019-11-02 上映,535,114.118976,3,http://piaofang.maoyan.com/movie/1262185
