火电,#12机组废气排放口,浙江浙能镇海天然气发电有限责任公司
热电,烟气,浙江富元能源开发有限公司
纺织染整,排放口,绍兴宏晟印染有限公司
化工,总排口,浙江今晖新材料股份有限公司
纺织染整,废水总排放口,浙江卫星纺织印染有限公司
垃圾焚烧,标排口1#,温州市瓯海伟明垃圾发电有限公司
纺织染整,标排口,浙江巨鹰集团股份有限公司
纺织染整,标准排放口,温州宏丰革基布有限公司
水泥,窑尾排放口,湖州白岘南方水泥有限公司
电镀,废水排放口二期,嘉兴敏惠汽车零部件有限公司
金属加工,标排口,浙江新元焊材有限公司
化工,总排放口,杭州红妍颜料化工有限公司
水泥,窑头排放口,浙江衢州巨泰建材有限公司
纺织染整,标排口,杭州富强织染有限公司
垃圾焚烧,标排口,温岭绿能新能源有限公司
纺织染整,标排口,浙江嘉业印染有限公司
热电,废气排放口,海宁东山热电有限公司
火电,1#废水排口,浙江国华余姚燃气发电有限责任公司
纺织染整,标排口,绍兴东森印染有限公司
纺织染整,1#烟囱,浙江天圣化纤有限公司
皮革,1#排口,浙江鸿升合成革有限公司
污水处理厂,总排口,长兴永安水务有限公司
电镀,标排口,兰溪市申宇五金有限公司
纺织染整,标排口,浙江华帝纺织印染有限公司
纺织染整,标准排放口,永嘉县瓯北镇海鑫服装水洗厂
化工,锅炉烟气排放口,宁波中金石化有限公司
化工,1号吹风机废气排放口,浙江晋巨化工有限公司
纺织染整,标排口,浙江新亚实业有限公司
纺织染整,纳管口,海盐县于城漂染有限公司
造纸,废水排放口,杭州富阳登月纸业有限公司
热电,6#废气排放口,宁波榭北热电有限公司
化工,纳管口,宁波环洋新材料股份有限公司
垃圾焚烧,2#污泥焚烧炉排口,宁波亚洲浆纸业有限公司
纺织染整,标排口,安吉县博奥印染厂
纺织染整,排放口,杭州航民美时达印染有限公司
纺织染整,入网口,浙江佳力织染制衣有限公司
皮革,1#排口,浙江华迪合成革有限公司
纺织染整,标排口,湖州得盛印染有限公司
水泥,1#窑尾排放口,湖州南方水泥有限公司
医药,1#VOC排口,浙江圃瑞药业有限公司
纺织染整,纳管口,嘉兴富利嘉纺织染纱有限公司
化工,总排口,浙江化工院科技有限公司
造纸,标准排放口,浙江七屿纸业有限公司
纺织染整,标排口,绍兴上虞国宏印染有限公司
医药,1#排口,台州市星明药业有限公司
纺织染整,废水排放口,宁波市友茂纺织品有限公司
垃圾焚烧,1#废气排放口,温州宏泽热电股份有限公司
电镀,废水处理排放口,宁波市浙东表面处理有限公司
纺织染整,标排口,绍兴市富士豪印染有限公司
污水处理厂,总排口,长兴昂为环境生态工程有限公司
造纸,废水标排口,杭州弘伦纸业有限公司
纺织染整,标排口,浪莎针织有限公司
造纸,废水排放口,杭州富阳胜利造纸有限公司
食品加工,排放口,杭州紫香糖业有限公司
电镀,排口,宁波市安信汽车零部件有限公司
纺织染整,1#排口,宁波天乙线业有限公司
纺织染整,标排口,金华赛格染整有限公司
医药,1#排口,浙江华海立诚药业有限公司
热电,废气排放口,浙江清园生态热电有限公司
火电,1#废气排放口,浙江浙能兰溪发电有限责任公司
纺织染整,标排口,湖州三印丝绸炼染有限公司
化工,废气排放口,罗赛洛（温州）明胶有限公司
纺织染整,入管网口,浙江雀屏纺织化工股份有限公司
纺织染整,总排放口,浙江虹发印染有限公司
纺织染整,标排口,绍兴康盛印染有限公司
造纸,废水排放口,衢州市东大特种纸有限公司
水泥,（2000吨）废气排放口,江山南方水泥有限公司
纺织染整,纳管口,海盐县于城漂染有限公司
纺织染整,标排口,浙江彩虹庄印染有限公司
造纸,总排口,嘉兴市高翔纸业有限公司
热电,4#标排口,杭州华电下沙热电有限公司
热电,2#废气排放口,浙江春晖环保能源股份有限公司
合成革,废水排放口,德清升大皮革有限公司
金属加工,一期烧结机尾除尘2号,衢州元立金属制品有限公司
daxingchuqinyangzhi,排放口,杭州兴发养殖有限公司
污水处理厂,标排口,慈溪市杭州湾水处理有限公司
食品加工,1#排口,浙江广益食品有限公司
垃圾焚烧,2#标排口,温岭绿能新能源有限公司
电镀,标排口,宁波晶美科技有限公司
火电,4号炉,浙江浙能乐清发电有限责任公司
污水处理厂,凯津环保排放口,瑞安市华邦印染产业园有限公司
纺织染整,标排口,金华市光阳毛纺厂
垃圾焚烧,2#烟囱,绍兴华鑫环保科技有限公司
纺织染整,入管网口,桐昆集团浙江恒盛化纤有限公司
垃圾焚烧,垃圾炉2号,金华乌拉环保能源有限公司
纺织染整,标排口,绍兴华夏印染有限公司
化工,1#排口,浙江万盛股份有限公司
火电,1#标排口,华能国际电力股份有限公司玉环电厂
火电,温排口,华润电力（温州）有限公司
热电,2#废气排放口,宁波中华纸业有限公司
水泥,废气排放口,兆山集团诸暨水泥有限公司
纺织染整,标排口1#,宁海县城关连头山印染织厂
火电,1号炉,浙江浙能乐清发电有限责任公司
水泥,窑尾排放口,浙江长广水泥有限公司
合成革,废气排放口,浙江元新实业有限公司
污水处理厂,废水排放口,富阳市清园城市综合污水处理有限公司
纺织染整,标排口,浙江中新毛纺织有限公司
电镀,标排口,宁波方太厨具有限公司
