管理级别,排放去向,站点编码,所属区域,所属行业,站点名称,组织机构代码,企业名称
3,,33330183000132,330111,热电,标排口2#,913301837360406463,杭州富阳永泰热电有限公司
3,,33330225000491,330225,污水处理厂,象山鹤浦污水处理厂,91330225MA290W4956,象山鹤浦污水处理厂
3,,33330483021401,330483,纺织染整,入管网口,913304837463369184,桐乡市新达丝绸炼染有限公司
3,,33331022000041,331022,造纸,标排口,75490837-3,浙江省三门万鑫纸业有限公司
3,,33330621000511,330603,纺织染整,标排口,9133062173450462XN,绍兴县嘉德纺织印染有限公司
3,,33330682001881,330604,纺织染整,标排口,91330600080554635Q,浙江巍华新材料股份有限公司
3,,33330682001091,330604,化工,总排口,91330600739910723J,浙江劲光化工有限公司
3,,33330183003421,330111,造纸,废水排放口,91330183682926010L,杭州富伦生态科技有限公司
3,,33330902190701,330902,污水处理厂,标排口,91330902792098682X,西北污水处理厂
3,,33330621000661,330603,纺织染整,标排口,91330621609660519K,浙江万亨盛印染有限公司
3,,33331023000071,331023,啤酒,1#排口,91331000761314530E,百威（台州）啤酒有限公司
3,,33330185000311,330185,污水处理厂,标排口,913301856798546694,临安市板桥集镇污水处理厂
3,,33331002000151,331002,医药,1#排口,91331002MA28G4WR03,浙江九洲药业股份有限公司椒江外沙分公司
3,,33330401011061,330462,纺织染整,总排口,78569487-3(00),嘉兴市华炬纺织有限公司
3,,33330109021161,330109,纺织染整,排放口,913301097405475705,杭州兴惠纺织有限公司
3,,33330303000391,330303,纺织染整,标准排放口,913303031450672226,温州博友织造有限公司
3,,33330424010281,330424,纺织染整,纳管口,913304247731182468,海盐新概念丝绸印染有限公司
3,,33330861000681,330801,污水处理厂,废水排放口,91330800721068136T,衢州市东港污水处理厂
3,,33330109000162,330109,化工,1#排放口,913301097245283880,浙江恒逸聚合物有限公司
3,,33330681002020,330681,垃圾焚烧,1号炉,913306817530166807,浙江诸暨八方热电有限责任公司
3,,33330822000242,330822,造纸,废气排放口,91330822746308562G,浙江常林纸业有限公司
3,,33330822000021,330822,造纸,标排口,91330822746308562G,浙江常林纸业有限公司
3,,33330183001621,330111,造纸,废水排放口,91330183685820342K,杭州富阳金宏纸业有限公司
3,,33330781003101,330781,污水处理厂,进口,113307817679607958,兰溪市香溪镇污水处理厂
3,,33330182019024,330182,化工,VOCs废气排放口-新华,913300001439822750,浙江新化化工股份有限公司
3,,33330682001591,330604,医药,标排口,91330604757090757A,浙江浙邦制药有限公司
3,,33330783000491,330783,化工,标排口,91330783799636615X,浙江康峰化工有限公司
3,,33330603000241,330661,纺织染整,标排口,91330600738400537R,浙江佳宝聚酯有限公司
3,,33330783000371,330783,纺织染整,标排口,91330700754905084T,东阳市诚艺服饰有限公司
3,,33330782011051,330782,电镀,标排口,91330782745805030K,义乌市童店五金电镀有限公司
3,,33330781000321,330781,纺织染整,标排口,330700400004424,兰溪市亚太家纺有限公司
3,,33330802000801,330802,污水处理厂,石梁镇污水厂,91330800741006557X,衢州市柯北基础设施投资有限公司污水处理厂
3,,33330183000081,330111,造纸,废水排放口,91330183747185138R,杭州华胜纸业有限公司
3,,33330324000141,330324,污水处理厂,标准排放口,91330324566951358T,永嘉县排水有限公司(上塘中心城区污水净化站)
3,,33330621001621,330603,纺织染整,标排口,91330621609661829W,浙江亚光针织印染有限公司
3,,33330782010331,330782,污水处理厂,总排口,91330782550535288Q,义乌市水处理有限责任公司赤岸运营部
3,,33330327000281,330327,食品加工,标准排放口,91330327MA2CNXJ16U,苍南县宏业企业管理有限公司（苍南县灵溪镇卤制品工业园区）
3,,33330411011571,330411,污水处理厂,排放口,9133041159058763XE,嘉兴市闻源水务投资有限公司范滩村污水处理站
3,,33330902013021,330902,食品加工,标排口,91330902770747581Q,舟山白云水产有限公司
3,,33330185000091,330185,污水处理厂,污水排放口,91330185736879943L,杭州青山湖科技城排水有限公司
3,,33331003000291,331003,污水处理厂,1#排口,11331003002677461Q,黄岩区上垟乡污水处理厂
3,,33330183007052,330111,热电,1#垃圾炉排放口,913300007572103686,浙江富春江环保热电股份有限公司
3,,33330421030071,330421,纺织染整,废水排放口,913304217044135166,浙江凌龙纺织有限公司
3,,33330682001041,330604,纺织染整,总排口,913306046671352883,上虞市弘辉漂染有限公司
