省份名称,省份简称或者是直辖市,现存确诊,累计确诊,治愈,死亡
,吕梁,0,6,6,0
,阳泉,0,4,4,0
,临汾,0,2,2,0
湖南省,湖南,1,1021,1016,4
,境外输入,1,3,2,0
,长沙,0,242,240,2
,岳阳,0,156,155,1
,邵阳,0,102,101,1
,常德,0,82,82,0
,株洲,0,80,80,0
,娄底,0,76,76,0
,益阳,0,60,60,0
,衡阳,0,48,48,0
,永州,0,44,44,0
,怀化,0,40,40,0
,郴州,0,39,39,0
,湘潭,0,36,36,0
,湘西自治州,0,8,8,0
,张家界,0,5,5,0
安徽省,安徽,1,993,986,6
,合肥,1,175,173,1
,蚌埠,0,160,155,5
,阜阳,0,156,156,0
,亳州,0,108,108,0
,安庆,0,83,83,0
,六安,0,69,69,0
,宿州,0,41,41,0
,马鞍山,0,38,38,0
,芜湖,0,34,34,0
,铜陵,0,29,29,0
,淮北,0,28,28,0
,淮南,0,27,27,0
,池州,0,17,17,0
,滁州,0,13,13,0
,黄山,0,9,9,0
,宣城,0,6,6,0
江苏省,江苏,1,685,684,0
,境外输入,1,54,53,0
,南京,0,93,93,0
,苏州,0,87,87,0
,徐州,0,79,79,0
,淮安,0,66,66,0
,无锡,0,55,55,0
,常州,0,51,51,0
,连云港,0,48,48,0
,南通,0,40,40,0
,泰州,0,37,37,0
,盐城,0,27,27,0
,扬州,0,23,23,0
,宿迁,0,13,13,0
,镇江,0,12,12,0
广西壮族自治区,广西,1,264,261,2
,境外输入,1,12,11,0
,南宁,0,55,55,0
,北海,0,44,43,1
,桂林,0,32,32,0
,河池,0,28,27,1
,柳州,0,24,24,0
,防城港,0,19,19,0
,玉林,0,11,11,0
,来宾,0,11,11,0
,钦州,0,8,8,0
,贵港,0,8,8,0
,梧州,0,5,5,0
,贺州,0,4,4,0
,百色,0,3,3,0
湖北省,湖北,0,68149,63637,4512
,武汉,0,50354,46485,3869
,孝感,0,3518,3389,129
,黄冈,0,2907,2782,125
,荆州,0,1580,1528,52
,鄂州,0,1394,1335,59
,随州,0,1307,1262,45
,襄阳,0,1175,1135,40
,黄石,0,1015,976,39
,宜昌,0,931,894,37
,荆门,0,928,887,41
,咸宁,0,836,821,15
,十堰,0,672,664,8
,仙桃,0,575,553,22
,天门,0,496,481,15
,恩施州,0,252,245,7
,潜江,0,198,189,9
,神农架林区,0,11,11,0
新疆维吾尔自治区,新疆,0,980,977,3
,乌鲁木齐,0,845,845,0
,喀什地区,0,80,80,0
,伊犁州,0,18,18,0
,兵团第四师,0,10,9,1
,昌吉州,0,5,5,0
,兵团第八师石河子市,0,4,3,1
,兵团第九师,0,4,3,1
,吐鲁番市,0,3,3,0
,巴州,0,3,3,0
,兵团第十二师,0,3,3,0
,兵团第六师五家渠市,0,2,2,0
,兵团第七师,0,1,1,0
,阿克苏地区,0,1,1,0
,待明确地区,0,1,1,0
江西省,江西,0,935,934,1
,南昌,0,230,230,0
,新余,0,129,129,0
,上饶,0,123,123,0
,九江,0,116,116,0
,宜春,0,106,106,0
,赣州,0,74,73,1
,抚州,0,72,72,0
,萍乡,0,33,33,0
,吉安,0,22,22,0
,鹰潭,0,18,18,0
,景德镇,0,6,6,0
,境外输入,0,5,5,0
,赣江新区,0,1,1,0
重庆市,重庆,0,590,584,6
,万州区,0,118,114,4
,江北区,0,28,28,0
,云阳县,0,25,25,0
,合川区,0,23,23,0
,綦江区,0,23,23,0
,长寿区,0,22,22,0
,奉节县,0,22,22,0
,九龙坡区,0,21,20,1
,开州区,0,21,20,1
,忠县,0,21,21,0
,渝中区,0,20,20,0
,垫江县,0,20,20,0
,潼南区,0,18,18,0
,渝北区,0,17,17,0
,两江新区,0,17,17,0
,南岸区,0,15,15,0
,石柱县,0,15,15,0
,大足区,0,14,14,0
,巫溪县,0,14,14,0
,境外输入,0,14,14,0
,铜梁区,0,10,10,0
,丰都县,0,10,10,0
,巫山县,0,10,10,0
,沙坪坝区,0,9,9,0
,璧山区,0,9,9,0
,荣昌区,0,9,9,0
,大渡口区,0,7,7,0
,巴南区,0,6,6,0
,涪陵区,0,5,5,0
,永川区,0,5,5,0
,江津区,0,4,4,0
,梁平区,0,4,4,0
,高新区,0,4,4,0
,黔江区,0,2,2,0
,城口县,0,2,2,0
,彭水县,0,2,2,0
,武隆区,0,1,1,0
,秀山县,0,1,1,0
,酉阳县,0,1,1,0
,万盛经开区,0,1,1,0
甘肃省,甘肃,0,182,180,2
,境外输入,0,90,90,0
,兰州,0,36,34,2
,天水,0,12,12,0
,平凉,0,9,9,0
,定西,0,9,9,0
,甘南,0,8,8,0
,白银,0,4,4,0
,陇南,0,4,4,0
,庆阳,0,3,3,0
,临夏,0,3,3,0
,张掖,0,2,2,0
,金昌,0,1,1,0
,省级（湖北输入）,0,1,1,0
海南省,海南,0,171,165,6
,三亚,0,57,56,1
,海口,0,39,39,0
,儋州,0,15,14,1
,万宁,0,13,13,0
,澄迈,0,9,8,1
,昌江,0,7,7,0
,琼海,0,6,5,1
,临高,0,6,6,0
,陵水,0,4,4,0
,定安,0,3,2,1
,文昌,0,3,3,0
,东方,0,3,2,1
,保亭,0,3,3,0
,乐东,0,2,2,0
,琼中,0,1,1,0
吉林省,吉林,0,157,155,2
,吉林市,0,60,59,1
,长春,0,49,49,0
,四平市,0,17,16,1
,辽源,0,7,7,0
,延边,0,7,7,0
,公主岭,0,6,6,0
,通化,0,6,6,0
,松原,0,2,2,0
,梅河口,0,2,2,0
,白城,0,1,1,0
贵州省,贵州,0,147,145,2
,贵阳,0,36,35,1
,遵义,0,32,32,0
,毕节,0,23,23,0
,黔南州,0,17,17,0
,六盘水,0,10,9,1
,铜仁,0,10,10,0
,黔东南州,0,10,10,0
,安顺,0,4,4,0
,黔西南州,0,4,4,0
,境外输入,0,1,1,0
宁夏回族自治区,宁夏,0,75,75,0
,银川,0,36,36,0
,吴忠,0,28,28,0
,固原,0,5,5,0
,中卫,0,4,4,0
,宁东,0,1,1,0
,石嘴山,0,1,1,0
澳门,澳门,0,46,46,0
青海省,青海,0,18,18,0
,西宁,0,15,15,0
,海北州,0,3,3,0
西藏自治区,西藏,0,1,1,0
,拉萨,0,1,1,0
