Date,Open,High,Low,Close,Turnover,日收益率
2019-09-27,4.08,4.1,3.98,4.02,161741728,-0.01711491442542794
2019-09-30,4.02,4.04,3.93,3.94,76761792,-0.01990049751243772
2019-10-08,3.95,4.15,3.94,4.09,191133664,0.03807106598984769
2019-10-09,4.07,4.3,4.06,4.23,287727744,0.03422982885085588
2019-10-10,4.23,4.3,4.19,4.26,133663256,0.007092198581560132
2019-10-11,4.26,4.33,4.23,4.31,160165376,0.011737089201877894
2019-10-14,4.33,4.74,4.33,4.6,459266208,0.06728538283062646
2019-10-15,4.58,4.65,4.53,4.62,171249728,0.004347826086956622
2019-10-16,4.62,4.72,4.52,4.55,157697952,-0.015151515151515213
2019-10-17,4.56,4.57,4.47,4.49,123483272,-0.013186813186813102
2019-10-18,4.52,4.57,4.36,4.41,168488800,-0.017817371937639215
2019-10-21,4.41,4.54,4.38,4.48,151596096,0.015873015873015938
2019-10-22,4.49,4.54,4.37,4.46,126936304,-0.004464285714285817
2019-10-23,4.46,4.53,4.43,4.46,82364200,0.0
2019-10-24,4.47,4.57,4.46,4.5,99745056,0.00896860986547086
2019-10-25,4.5,4.52,4.4,4.48,75604584,-0.00444444444444435
2019-10-28,4.46,4.51,4.39,4.46,78818248,-0.004464285714285817
2019-10-29,4.46,4.49,4.42,4.46,64295552,0.0
2019-10-30,4.46,4.55,4.44,4.5,115248952,0.00896860986547086
2019-10-31,4.48,4.49,4.23,4.34,199258272,-0.03555555555555559
2019-11-01,4.32,4.54,4.31,4.5,162302304,0.03686635944700464
2019-11-04,4.5,4.66,4.49,4.54,133000448,0.008888888888888898
2019-11-05,4.54,4.73,4.54,4.67,206552768,0.028634361233480152
2019-11-06,4.67,4.67,4.5,4.56,245951856,-0.023554603854389792
2019-11-07,4.55,4.56,4.46,4.5,114345296,-0.013157894736842021
2019-11-08,4.54,4.55,4.42,4.46,108867944,-0.008888888888888898
2019-11-11,4.42,4.42,4.32,4.34,112481568,-0.02690582959641258
2019-11-12,4.34,4.38,4.28,4.33,85087928,-0.002304147465437739
2019-11-13,4.32,4.36,4.29,4.33,58744560,0.0
2019-11-14,4.34,4.35,4.25,4.3,81789096,-0.00692840646651276
2019-11-15,4.31,4.32,4.24,4.25,71114664,-0.011627906976744146
2019-11-18,4.25,4.39,4.23,4.36,84853064,0.025882352941176547
2019-11-19,4.34,4.4,4.31,4.33,66177724,-0.006880733944954185
2019-11-20,4.31,4.33,4.2,4.22,92827408,-0.02540415704387998
2019-11-21,4.2,4.24,4.16,4.21,76752032,-0.002369668246445447
2019-11-22,4.23,4.24,4.17,4.18,72459296,-0.007125890736342102
2019-11-25,4.17,4.28,4.17,4.26,82787080,0.01913875598086126
2019-11-26,4.28,4.32,4.21,4.23,104333648,-0.007042253521126611
2019-11-27,4.24,4.26,4.18,4.2,51515232,-0.007092198581560342
2019-11-28,4.2,4.22,4.16,4.18,42248280,-0.004761904761904872
2019-11-29,4.17,4.2,4.12,4.13,62684932,-0.011961722488038236
2019-12-02,4.15,4.2,4.15,4.19,61902660,0.014527845036319733
2019-12-03,4.18,4.2,4.14,4.19,62069976,0.0
2019-12-04,4.19,4.19,4.11,4.15,76760904,-0.009546539379474948
2019-12-05,4.17,4.22,4.15,4.21,63951528,0.01445783132530111
2019-12-06,4.22,4.23,4.16,4.19,56405208,-0.004750593824227927
2019-12-09,4.19,4.2,4.13,4.17,86574944,-0.00477326968973758
2019-12-10,4.16,4.19,4.14,4.16,61797856,-0.0023980815347721313
2019-12-11,4.18,4.33,4.16,4.32,156678992,0.03846153846153849
2019-12-12,4.31,4.33,4.27,4.31,70130672,-0.002314814814814971
2019-12-13,4.36,4.42,4.33,4.41,112534520,0.023201856148492007
2019-12-16,4.41,4.42,4.34,4.39,92411600,-0.004535147392290354
