上映时间,评分,评价人数,一句话总结
1988,8.7,328083,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
2004,8.5,516454,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
2018,8.7,646203,我们组成了家。
1999,8.9,228644,天使暂时离开。
2013,8.8,265717,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
2006,8.5,628712,中国版《两杆大烟枪》。
2009,8.5,621003,不要企图在重复中寻找已经失去的爱。
2017,8.6,450525,世界不完美，爱会有奇迹。
1952,9.0,161781,骨灰级歌舞片。
2015,8.7,231137,有一些东西不应该被遗忘。
1989,8.6,361533,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
2005,8.6,421894,我们都有权利不与自己的过去和解。
2016,8.6,379598,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
2015,8.8,309651,永远看不腻的喜剧。
2001,8.7,344346,对爱的执着，可以超越一切。
1950,8.8,239068,人生的N种可能性。
2004,8.8,231477,坚硬的信仰。
1968,8.8,226274,现代科幻电影的开山之作，最伟大导演的最伟大影片。
1991,8.7,274429,少见的超越首部的续集，动作片中的经典。
2019,8.7,1066997,黑小鸭速效美白记。
1994,8.6,452381,永远的小人物，伟大的卓别林。
2010,8.4,813705,假戏真情，爱欲深海
1931,9.3,102571,中国式内在的美国电影。
2007,8.5,543216,弱者送给弱者的一刀。
1940,8.8,217601,用剩余不多的时间，去燃烧整个生命。
1991,8.8,202913,嬉笑怒骂，调风动月。
2007,8.7,305375,人们可以登上月球，却永远无法探索人们内心的宇宙。
1992,8.6,346292,大海啊，不全是水。
2017,8.7,311413,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
2009,9.1,136016,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
2011,8.5,648980,传奇，不是每个人都可以拥有。
1993,8.6,402695,昆汀同学越来越变态了，比北野武还杜琪峰。
1994,8.8,230627,爱上未来的你。 
2009,8.6,376681,每个美丽事物背后都是滴血的现实。
2018,8.7,451126,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
2006,8.6,314246,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
1990,8.5,390192,王家卫是一种风格，张国荣是一个代表。
2004,8.7,281380,谁说王家卫镜头很晃？
2007,8.9,164161,天使保护事件始末。
2016,8.5,432249,来啊，互相伤害啊！
