职位名称,公司全称,公司人数,发布时间,工作城市,薪资待遇,工作经验,学历要求,职位优势
总账会计,上海银科创展投资集团有限公司,2000人以上,2020-10-22 14:19,上海,8k-12k,3-5年,本科,集团总部职位，发展空间大；公司福利好
总账会计,合发电子商务有限公司,50-150人,2020-12-21 18:50,上海,8k-13k,3-5年,本科,年终奖金 工作补贴
会计主管,深圳微米信息服务有限公司,50-150人,2020-12-31 10:01,深圳,9k-13k,3-5年,本科,晋升空间大 牛人聚集地 期权股权
应付会计,上海依图信息技术有限公司,150-500人,2020-12-31 9:32,上海,8k-13k,1-3年,本科,人工智能 领导好 空间大 福利好
财务会计,深圳闲猫互动网络科技有限公司,50-150人,2020-12-29 9:15,深圳,6k-8k,1-3年,大专,下午茶 零食 试用期购买五险一金
会计主管,北京睿象科技有限公司,150-500人,2020-12-31 11:01,北京,10k-15k,5-10年,本科,五险一金 带薪年假 福利年假
总账会计,青网科技控股有限公司,50-150人,2020-12-29 13:33,合肥,5k-10k,3-5年,本科,集团背书、五险一金、游学旅游、生日节日福利
财务会计,北京立米未来教育科技有限公司,150-500人,2020-12-29 17:36,北京,6k-8k,3-5年,本科,.
会计,上海寻梦信息技术有限公司,2000人以上,2020-12-14 14:02,上海,7k-12k,3-5年,本科,平台大，发展前景好
财务会计,中追（北京）科技有限公司,50-150人,2020-12-29 12:20,北京,8k-12k,5-10年,大专,团队融洽 大牛团队 每年升职加薪
成本会计（高级）,深圳市晨北科技有限公司,500-2000人,2020-12-31 9:08,深圳,10k-15k,3-5年,本科,餐补、交通补贴、话费补贴
总账会计,杭州兑吧网络科技有限公司,500-2000人,2020-12-29 11:56,杭州,10k-15k,5-10年,本科,港股上市工资；年终丰厚；提供中餐；
总账会计,上海保携管理咨询有限公司,50-150人,2020-12-28 17:24,上海,5k-10k,不限,不限,福利待遇好
会计,广州千粤税务师事务所有限公司,15-50人,2020-12-25 10:39,广州,3k-6k,1-3年,本科,高晋升
会计助理,北京西雅克商贸有限责任公司,15-50人,2020-9-22 12:35,北京,5k-8k,3-5年,大专,五险一金，月工资加年终奖.。
财务会计,广州有你网络技术有限公司,15-50人,2020-12-28 10:12,广州,4k-7k,1年以下,大专,下午茶 社会保险 月度团建 年度旅游
财务会计,上海普石信息科技有限公司,少于15人,2020-12-14 18:53,上海,5k-8k,不限,大专,福利齐全，无加班
会计,成都轻备教育科技有限公司,50-150人,2020-12-23 9:18,成都,4k-6k,3-5年,大专,大牛带队 发展空间大
财务会计,广东亿迅科技有限公司,2000人以上,2020-12-28 15:05,广州,6k-8k,1-3年,本科,五险一金 双休 国企
会计,格格医疗科技（上海）有限公司,15-50人,2020-8-10 14:01,杭州,5k-8k,1-3年,本科,发展前景好、福利待遇佳
会计,深圳市永恒信建筑劳务分包有限公司,50-150人,2020-12-29 19:15,深圳,6k-8k,3-5年,大专,会计
总账会计,众安在线财产保险股份有限公司,2000人以上,2020-12-29 10:11,上海,10k-20k,3-5年,本科,团队实力，发展前景
会计主管(J10540),北京读我科技有限公司,2000人以上,2020-12-31 11:29,北京,15k-20k,3-5年,不限,餐补房补，发展空间大，地铁周边
