Excel文件名称		时间		功率		风速
201508.xls	Sheet13		0.416666666666667		164.0		11.2
201508.xls	Sheet13		0.427083333333333		165.0		11.7
201508.xls	Sheet13		0.4375		165.0		11.2
201508.xls	Sheet13		0.447916666666667		165.0		10.9
201508.xls	Sheet13		0.4583333333333333		164.0		10.2
201508.xls	Sheet13		0.46875		164.0		10.7
201508.xls	Sheet13		0.4791666666666667		164.0		10.9
201509.xls	Sheet24		0.854166666666667		163.0		12.4
201509.xls	Sheet24		0.864583333333333		164.0		12.5
201509.xls	Sheet24		0.875		163.0		11.9
201509.xls	Sheet27		0.7916666666666666		22.0		4..4
201511.xls	Sheet2		0.0104166666666667		117.0		10..4
201511.xls	Sheet2		0.7604166666666666		161.0		12.6
201511.xls	Sheet2		0.770833333333333		161.0		12.4
201511.xls	Sheet2		0.7916666666666666		161.0		12.5
201511.xls	Sheet2		0.8020833333333334		165.0		13.1
201511.xls	Sheet2		0.822916666666667		161.0		12.9
201511.xls	Sheet2		0.75		162.0		13.4
201511.xls	Sheet21		0.4375		2.0		3..1
201511.xls	Sheet25		0.197916666666666		161.0		11.9
201511.xls	Sheet25		0.208333333333332		161.0		11.8
201511.xls	Sheet25		0.218749999999999		162.0		11.7
201511.xls	Sheet25		0.229166666666666		162.0		11.7
201511.xls	Sheet26		0.0416666666666665		161.0		10.7
201511.xls	Sheet26		0.052083333333333336		162.0		11.1
201511.xls	Sheet26		0.0833333333333329		161.0		10.5
201511.xls	Sheet26		0.145833333333333		161.0		11.2
201511.xls	Sheet26		0.156249999999999		161.0		11.3
201512.xls	Sheet1		0.0104166666666667		162.0		11.6
201512.xls	Sheet1		0.7604166666666666		163.0		11.7
201512.xls	Sheet1		0.0208333333333333		162.0		11.7
201512.xls	Sheet1		0.770833333333333		161.0		11.6
201512.xls	Sheet1		0.0312499999999999		163.0		11.9
201512.xls	Sheet1		0.0416666666666665		163.0		12.4
201512.xls	Sheet1		0.7916666666666666		161.0		11.7
201512.xls	Sheet1		0.052083333333333336		163.0		12.1
201512.xls	Sheet1		0.8020833333333334		163.0		11.8
201512.xls	Sheet1		0.0625000000000002		163.0		12.4
201512.xls	Sheet1		0.0729166666666663		164.0		12.1
201512.xls	Sheet1		0.864583333333333		162.0		11.3
201512.xls	Sheet1		0.135416666666666		161.0		11.2
201512.xls	Sheet1		0.8854166666666664		162.0		11.7
201512.xls	Sheet1		0.895833333333333		163.0		11.9
201512.xls	Sheet1		0.90625		162.0		11.9
201512.xls	Sheet1		0.916666666666667		162.0		12.1
201512.xls	Sheet1		0.927083333333333		162.0		11.9
201512.xls	Sheet1		0.9375		163.0		11.9
201512.xls	Sheet1		0.947916666666667		162.0		12.1
201512.xls	Sheet1		0.958333333333333		162.0		11.8
201512.xls	Sheet1		0.96875		161.0		11.7
201512.xls	Sheet1		0.729166666666667		164.0		11.8
201512.xls	Sheet1		0.979166666666667		161.0		11.9
201512.xls	Sheet1		0.9895833333333334		162.0		11.8
201512.xls	Sheet1		0.75		164.0		11.8
201512.xls	Sheet1		0.0		162.0		11.6
201512.xls	Sheet2		0.7604166666666666		163.0		12.1
201512.xls	Sheet2		0.0208333333333333		164.0		10.9
201512.xls	Sheet2		0.770833333333333		162.0		12.0
201512.xls	Sheet2		0.0312499999999999		164.0		10.9
201512.xls	Sheet2		0.78125		163.0		11.9
201512.xls	Sheet2		0.0416666666666665		162.0		11.3
201512.xls	Sheet2		0.7916666666666666		163.0		11.9
201512.xls	Sheet2		0.8020833333333334		164.0		11.8
201512.xls	Sheet2		0.8125		163.0		11.5
201512.xls	Sheet2		0.822916666666667		163.0		11.5
201512.xls	Sheet2		0.833333333333333		162.0		10.5
201512.xls	Sheet2		0.729166666666667		163.0		12.5
201512.xls	Sheet2		0.739583333333333		161.0		13.1
201512.xls	Sheet2		0.75		162.0		11.5
201512.xls	Sheet10		0.7604166666666666		164.0		11.9
